zpid,GT,GT_bool,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
245548621,34,yes,no,yes,yes,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its appealing features and location.","The property is a newer construction single family home with desirable features and a prime location, which typically leads to a faster sale in Chicago.","The property is a newer construction single family home in a desirable location with many appealing features, likely leading to a fast sale in Chicago, well within the 37-day limit."
87700611,60,no,no,yes,yes,"The property was sold in more than 37 days, which exceeds the fast selling threshold for a condo in Chicago.","The property features modern renovations and desirable amenities like en-suite bathrooms and parking, which are appealing in the Chicago market, likely leading to a fast sale.","The property features desirable attributes like a renovated interior, attached bathrooms, and a convenient location in Chicago, which likely contributed to a fast sale."
3971986,47,no,no,yes,yes,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its appealing features.","The property features extensive renovations and desirable attributes, suggesting high demand. The description emphasizes urgency, indicating it likely sold quickly.","The property is a well-renovated single house in Chicago with desirable features and location, likely appealing to buyers, suggesting a fast sale within the 37-day limit."
82876415,55,no,no,yes,yes,"The property is a condo in Los Angeles, where the upper limit for fast selling is 20 days. Without the TOM provided, we cannot determine if it sold within that timeframe.","The property is described as move-in ready in a trendy area with appealing features, suggesting high demand. Additionally, it is a condo in Los Angeles, which typically sells quickly.","The property is described as move-in ready in a trendy location with desirable features, suggesting high demand. Given the fast-selling threshold for condos in Los Angeles is 20 days, it likely sold quickly."
20162951,9,yes,no,no,no,"The property in Los Angeles sold in more than 12 days, which exceeds the fast-selling threshold for single houses in the area.","The property is a single house in Los Angeles, which typically sells fast, but lacks fast-selling keywords and has a longer description, suggesting it may not have sold quickly.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords. It may take longer due to its unique features and location."
3824979,49,no,no,no,no,"The property likely sold slowly due to tenant issues and the need for significant updates, which can deter buyers and extend the time on market.","The property has tenant issues, requires significant updates, and is an as-is sale, which typically leads to longer selling times. It likely did not sell quickly.","The property is tenant-occupied and requires eviction, which can deter buyers. Additionally, it needs significant updates, making it less appealing for a quick sale."
2066391656,99,no,no,no,no,"The property is a condo in New York, where the upper limit for fast selling is 97 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely did not sell quickly.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. The average selling time for condos in NY is 97 days, indicating a slower sale."
32278494,284,no,no,no,no,"The property is a single house in New York and sold in more than 83 days, which exceeds the fast selling threshold for that category.","The property is being sold as-is and targets cash buyers only, which may indicate a longer selling process. Additionally, it lacks fast-selling keywords.","The property is being sold as-is and targets cash buyers only, which may limit interest. Additionally, it lacks fast-selling keywords, indicating a slower sale in New York."
245406394,67,yes,yes,no,no,"The property sold in less than 97 days, which is considered fast for a condo in New York. Its prime location and appealing features likely contributed to the quick sale.","The property is a condo in New York, and while the description is appealing, it lacks fast-selling keywords. Therefore, it likely did not sell quickly.","The property is a condo in New York, and while it has appealing features, it does not include fast-selling keywords. Therefore, it likely sold slower than the 97-day threshold."
2099549367,55,no,no,yes,yes,"The property was likely sold over the 37-day limit for condos in Chicago, given its size and luxury features, which typically require more time to find the right buyer.","The property is a spacious luxury condo in a desirable Logan Square location with high-end finishes and outdoor spaces, which are appealing features likely to attract buyers quickly.","The condo's luxury features, spacious layout, and prime Logan Square location suggest high demand, likely leading to a fast sale within the 37-day limit for Chicago condos."
79723410,232,no,no,no,no,"The property sold in New York, where the upper limit for condos is 97 days. Without the TOM provided, we cannot determine if it sold fast or not.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords and may take longer than the average 83 days to sell.","The property is a condo in New York, which typically has a longer selling time. Given the description and attributes, it likely did not sell within the 83-day threshold."
2057663386,169,no,yes,no,no,"The property sold in less than 97 days, which is considered fast for a condo in New York. Its appealing features and prime location likely contributed to the quick sale.","The property is a condo in New York, and while the description is appealing, it lacks fast-selling keywords. Therefore, it likely did not sell quickly.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely took longer than the 97-day threshold to sell."
3705902,89,no,no,no,no,"The property did not sell fast as it is a condo in Chicago, where the upper limit for fast selling is 37 days. The actual time on market exceeded this limit.","The property is a condo in Chicago, and while the description is appealing, it lacks fast-selling keywords. The age of the building may also deter some buyers.","The property is a condo in Chicago, and without specific selling time data, it likely took longer than 37 days to sell, especially given its age and market conditions."
348574387,67,no,no,no,yes,"The property in Los Angeles was sold, but the time-on-market is not provided. Given the fast selling limit is 12 days, we cannot determine if it sold fast.","The property is a new construction in Los Angeles, but lacks fast-selling keywords and has a longer expected market time, indicating it may not sell quickly.","The property is a new construction in Los Angeles, featuring desirable amenities and a fenced patio, likely appealing to buyers. Given the market dynamics, it likely sold quickly."
31523180,111,no,yes,no,no,"The property sold quickly, likely due to its prime location, extensive amenities, and recent renovations, which appeal to buyers in the competitive New York market.","The property description does not include any fast-selling keywords and is located in New York, where the average selling time for condos is 97 days. It may take longer.","The property description does not include any fast-selling keywords, and the amenities and features suggest a higher-end market, which may take longer to sell."
3927324,28,yes,no,no,no,"The property was sold as-is and may have taken longer than the 37-day threshold for fast sales in Chicago, especially given its age and estate sale status.","The property description does not include any fast-selling keywords and is an estate sale, which may indicate a longer selling process.","The property is described as an estate sale and sold as-is, which may deter buyers. Additionally, it has a longer age and may require updates, leading to a slower sale."
2053207262,133,no,yes,no,no,"The property sold in New York, which has a fast selling limit of 97 days for condos. If it sold within this timeframe, it qualifies as a fast sale.","The property is a condo in New York, which typically has a longer selling time. The description lacks fast-selling keywords, indicating it may not have sold quickly.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely took longer than the 97-day threshold to sell."
3685189,42,no,no,no,no,"The property was sold as-is and in need of TLC, which may have extended the time on market beyond the 37-day threshold for Chicago single houses.","The property is described as needing TLC and is an estate sale sold as-is, which typically indicates a slower sale process in the market.","The property is described as needing TLC and is an estate sale sold as-is, which may deter buyers. Additionally, it lacks fast-selling keywords, indicating a slower sale."
3920428,48,no,no,yes,yes,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its appealing features.","The property has appealing features like a spacious layout, modern kitchen, and in-law arrangement, which are attractive to buyers. It is likely to sell quickly in the Chicago market.","The property is well-maintained with desirable features and located in a convenient area, likely appealing to buyers. Given the Chicago market, it should sell within the 37-day threshold."
4147854,57,no,no,no,no,"The property was sold as-is and owned by HUD, which may indicate a longer selling process. The upper limit for fast selling in Chicago for a single house is 37 days.","The property is sold as-is and owned by HUD, which may deter buyers. Additionally, it lacks appealing features that could attract quick sales, indicating a slower market response.","The property is sold as-is and owned by HUD, which may deter buyers. Additionally, the lack of appealing features suggests it may not sell quickly in the Chicago market."
101278829,156,no,no,no,no,"The property was likely sold over the 37-day limit for Chicago single houses, indicating it did not sell fast despite its appealing features.","The property is described with high-end features and a great location, but lacks fast-selling keywords. It may take longer than 37 days to sell in Chicago.","The property is a single house in Chicago, and while it has appealing features, it likely took longer than 37 days to sell due to its specific location and market conditions."
126321579,126,no,yes,no,no,"The property is a condo in New York, and if it sold within 97 days, it qualifies as a fast sale. The description highlights desirable features and amenities, likely attracting buyers quickly.","The property description does not include any fast-selling keywords and is a condo in New York, which typically has a longer selling time. Therefore, it likely sold slowly.","The property is a condo in New York, and while it has appealing features, it lacks fast-selling keywords. The average selling time for condos in NY is 97 days, and it may take longer."
21350912,9,yes,no,no,no,"The property is located in Los Angeles, where the upper limit for fast selling is 12 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and highlights extensive maintenance, suggesting a slower sale.","The property is a single house in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and highlights extensive maintenance, suggesting a slower sale."
4134613,52,no,no,yes,no,"The property was likely sold over the 37-day limit for Chicago single houses, given its extensive renovations and features, which may have attracted a more selective buyer.","The property features high-end renovations and a desirable open floor plan, which are appealing to buyers. The description suggests it is a sought-after home likely to sell quickly.","The property is a single house in Chicago and the average time on market is 37 days. Without specific TOM data, it's likely it took longer due to its age and extensive renovations."
101434908,78,no,yes,yes,yes,"The property is a condo in Chicago, and if it sold in 37 days or less, it qualifies as a fast sale. The appealing features likely contributed to a quick sale.","The property features desirable amenities like a rooftop deck and is located near popular areas, which likely contributed to a fast sale in the competitive Chicago market.","The condo features desirable amenities like a rooftop deck and is located near popular areas, which likely contributed to a fast sale in Chicago, well within the 37-day limit."
346016188,103,no,no,yes,no,"The property is a single house in Chicago, and the upper limit for fast selling is 37 days. Without the actual time on market, we cannot determine if it sold fast.","The property is well-located in Bridgeport, has desirable features like high-end appliances and ample living space, which likely contributed to a fast sale in the competitive Chicago market.","The property is a single house in Chicago, and while it has appealing features, it does not contain any fast-selling keywords. Therefore, it likely sold slower than the 37-day threshold."
20444708,63,no,no,no,no,"The property in Los Angeles was sold, but the description does not provide the time-on-market. Given the fast selling limit of 12 days for single houses, we cannot confirm it was sold fast.","The property is a unique development opportunity in a prime location, but lacks fast-selling keywords. Given its age and description, it may take longer to sell.","The property is a unique development opportunity in a desirable area, but its age and lack of specific fast-selling features suggest it may take longer to sell."
2057933994,142,no,no,no,no,"The property is a single house in New York, which has a fast selling limit of 83 days. Without the TOM provided, we cannot determine if it sold within that timeframe.","The property is a single house in New York and the description includes slow-selling words like 'inground' and 'bbqs', indicating it may not have sold quickly.","The property is a single house in New York, which typically has a longer selling time. Given its features, it may attract buyers, but the overall market dynamics suggest a slower sale."
250330084,43,no,no,no,no,"The property is a condo/townhouse in Los Angeles, which has a fast selling limit of 20 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo/townhouse in Los Angeles, which typically sells fast, but the description lacks fast-selling keywords and mentions redevelopment, indicating potential challenges.","The property is a condo/townhouse in Los Angeles and sold in an unspecified time. Given the fast-selling benchmark is 20 days, it likely took longer to sell."
32287488,92,yes,yes,no,no,"The property is a condo in New York, and if it sold in 97 days or less, it qualifies as a fast sale. The description suggests it is desirable, which likely contributed to a quicker sale.",The property description lacks fast-selling keywords and includes no mention of desirable features that typically attract quick buyers in New York.,"The property description lacks fast-selling keywords and is a condo in New York, where the average selling time is 97 days. Without appealing terms, it likely sold slower."
3648395,77,no,no,yes,no,"The property is a condo in Chicago, and the upper limit for fast selling is 37 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a well-located 2 bed/2 bath condo in Chicago with desirable features and no slow-selling keywords, suggesting it likely sold quickly.","The property is a condo in Chicago, and while it has appealing features, it lacks fast-selling keywords. Therefore, it likely took longer than 37 days to sell."
3938367,35,yes,no,no,no,"The property was sold in more than 37 days, which exceeds the fast selling threshold for a single house in Chicago.","The property has several features that may appeal to buyers, but the presence of 'rehabbed' in the discriminative words suggests it may not sell quickly in the current market.","The property is a single house in Chicago and sold in an unspecified time frame. Given the average selling time is 37 days, without a specific TOM, we cannot confirm it sold fast."
32304623,161,no,no,no,no,"The property is a single house in New York and sold in more than 83 days, which exceeds the fast selling threshold for that area.","The property is a single house in New York and the description includes slow-selling words like 'inground' and lacks fast-selling keywords, indicating it may not sell quickly.","The property is a single house in New York, which typically sells within 83 days. However, the description lacks fast-selling keywords, indicating it may take longer to sell."
30697100,0,yes,no,no,no,"The property is a single house in New York and sold in more than 83 days, which exceeds the fast selling threshold for this area.",The property is a single house in New York and the description lacks fast-selling keywords. It likely took longer than the average 83 days to sell.,"The property is a single house in New York, which typically has a longer selling time. Without fast-selling keywords, it likely took longer than 83 days to sell."
32306395,226,no,no,no,no,"The property is being sold through auction, and the time-on-market is not specified. However, for a single house in New York, the upper limit is 83 days, which may not indicate a fast sale.","The property is being sold through auction, which typically indicates a longer selling process. Additionally, it lacks fast-selling keywords, suggesting it may not sell quickly.","The property is being sold through auction, which typically takes longer than traditional sales. Additionally, it lacks fast-selling keywords, indicating a slower market response."
3639364,63,no,no,no,no,"The property was likely sold over the 37-day limit for Chicago single houses, given its extensive features and renovations, which may have attracted a more selective buyer.","The property has a classic appeal with extensive renovations, but the presence of slow-selling words like 'rehabbed' suggests it may not have sold quickly.","The property is a single house in Chicago, and if it sold in more than 37 days, it is considered slow-selling. The description does not include fast-selling keywords."
32360340,126,no,no,no,no,"The property is a condo in New York, which has a fast selling limit of 97 days. Without the time-on-market provided, we cannot determine if it sold fast.","The property is a condo in New York, which typically has a longer selling time. The description lacks fast-selling keywords and does not indicate high demand.","The property is a condo/townhouse in New York, which typically has a longer selling time. Given its age and the lack of fast-selling keywords, it likely sold slower than the average 97 days."
95538891,99,no,no,no,no,"The property is located in Los Angeles, where the upper limit for fast selling is 12 days. If it took longer than that, it cannot be considered a fast sale.","The property is a large equestrian estate in Los Angeles, which typically takes longer to sell due to its niche appeal. The description lacks fast-selling keywords, indicating a slower market response.","The property is a large equestrian estate in Los Angeles, which typically takes longer to sell due to its niche market. The description emphasizes unique features but lacks fast-selling keywords."
19913878,4,yes,no,yes,no,"The property was sold in Los Angeles, where the upper limit for condos is 20 days. If it took longer than that, it cannot be considered a fast sale.","The property is a well-described tri-level townhome in Los Angeles, featuring desirable amenities and a vibrant community, which likely contributed to a fast sale.","The property is a condo/townhouse in Los Angeles, which typically sells fast, but the age of 36 years may deter buyers. Additionally, no fast-selling keywords were present in the description."
54533007,42,no,no,yes,yes,"The property was likely sold over the 37-day threshold for condos in Chicago, indicating it did not sell fast.","The property is a spacious condo in a desirable area with modern features and outdoor space, which aligns with fast-selling characteristics in Chicago.","The property is a spacious condo in a desirable Chicago neighborhood with appealing features like a private garage and outdoor space, likely contributing to a fast sale."
21295533,31,no,no,yes,yes,"The property is a single house in Los Angeles, which has a fast selling limit of 12 days. The description suggests urgency, but without the actual days on market, we cannot confirm it sold fast.","The description emphasizes urgency with 'won't last long', suggesting a fast sale. Additionally, the property is a single house in Los Angeles, which typically sells quickly.","The description emphasizes urgency with 'won't last long', suggesting high demand. The property is a single house in Los Angeles, which typically sells quickly, especially with appealing attributes."
32051410,69,yes,no,no,no,"The property is a single house in New York, which has a fast selling limit of 83 days. Without the actual time on market, we cannot determine if it sold fast.","The property is a single house in New York and the description lacks fast-selling keywords. Given its age and the market conditions, it likely sold slower than the average.","The property is a single house in New York, which typically sells within 83 days. However, the description lacks fast-selling keywords, indicating it may take longer to sell."
89932005,119,no,yes,yes,yes,"The property is in Chicago and is a condo/townhouse. It sold quickly, as the description suggests high demand and recent renovations, likely appealing to buyers.","The property is in a highly sought after gated community, has undergone extensive renovations, and features desirable attributes, indicating it likely sold quickly.","The property is in a desirable gated community, has been fully renovated, and features multiple attractive amenities, making it likely to sell quickly in the Chicago market."
2076975700,48,no,no,yes,yes,"The property is a condo in Chicago, and if it sold in more than 37 days, it is considered not sold fast. The description suggests a desirable location, but no TOM is provided.","The property is located in Bucktown, a desirable area, and features modern updates and ample outdoor space, which are appealing traits that likely contributed to a fast sale.","The property is located in Bucktown, a desirable area, and features many appealing updates and amenities. Given its attributes and location, it likely sold quickly within the 37-day limit for Chicago condos."
