zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
244458249,157,moderate,moderate,slow,slow,"The property features desirable amenities and stunning views, which typically attract buyers. However, its age and size may lead to a moderate selling time, likely between 90 to 222 days.","The property has several slow-selling keywords like 'coop' and is located in a competitive market. Additionally, its age and size may deter some buyers, leading to a longer time on market.","The property features several slow-selling discriminative words like 'coop' and lacks fast-selling keywords. Its extensive amenities and views may attract buyers, but the co-op nature often leads to longer sales."
20504166,11,fast,moderate,fast,fast,"The property is well-remodeled and located in a desirable area, which typically attracts buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features a desirable location, modern updates, and attractive amenities, which are likely to appeal to buyers quickly. The description emphasizes comfort and convenience, suggesting a fast sale.","The property features desirable attributes like a recent remodel, modern amenities, and a prime location in Westwood, which typically attract buyers quickly, leading to a fast sale."
20442795,65,moderate,moderate,fast,fast,"The property is located in a desirable area with many amenities, which typically attracts buyers. However, the age of the property and its size may have contributed to a moderate selling time.","This property features desirable amenities and is located in a sought-after area of Marina del Rey, which typically attracts buyers quickly. The detailed description highlights its appeal, suggesting a fast sale.","The property features desirable attributes like a split-level design, upgraded amenities, and a prime location in Marina del Rey, which typically attracts buyers quickly."
3851587,108,slow,fast,fast,fast,"The property is located in a prime area of Chicago with luxury features and amenities, likely attracting buyers quickly. Its appealing description suggests it sold within 0 to 35 days.","This property features luxurious amenities, stunning views, and is located in a prime area of Chicago, which typically attracts buyers quickly. The description emphasizes modern living and convenience, suggesting a fast sale.","The property features luxurious amenities, stunning views, and modern updates, appealing to buyers. Its prime location in Chicago's Magnificent Mile likely contributed to a quick sale."
3876648,48,moderate,fast,fast,fast,"The property is located in a highly sought-after area with desirable features and recent renovations, likely attracting buyers quickly. Its appeal suggests a fast sale, likely under 35 days.","The property features desirable attributes like a rehabbed kitchen, ample living space, and a prime location in a sought-after community, which typically leads to a quick sale.","The property features numerous desirable attributes such as a rehabbed kitchen, ample space, and a sought-after location, which likely contributed to a quick sale."
89074633,141,moderate,moderate,fast,fast,"The property is well-located with numerous amenities and a tax abatement, which typically attracts buyers. However, the tenant occupancy until March may have delayed the sale, leading to a moderate selling time.","The property is located in a popular area of Downtown Brooklyn with numerous amenities and easy access to public transport, which typically attracts buyers quickly, suggesting a fast sale.","The property is located in a desirable area of Downtown Brooklyn with numerous amenities and transportation options, which typically leads to quick sales. The description highlights its appeal."
20746689,62,moderate,fast,fast,fast,"The property was marketed with a price reduction for a quick sale and is located in a desirable area, which likely contributed to its fast sale within 0 to 9 days.","The property features a price reduction for a quick sale, is fully renovated, and is located in a desirable area with amenities nearby, indicating a strong appeal for buyers.","The property features a price reduction for a quick sale, fully renovated status, and desirable location near Sunset Blvd, which are strong indicators for fast selling."
20803674,101,slow,moderate,moderate,fast,"The property is well-located and has appealing features, but the age of the building and the price reduction suggest it may have taken longer to sell, likely within 14 to 83 days.","The property has appealing features like a price reduction, spacious layout, and prime location, but it may take longer to sell due to its age and market competition.","The property is in a prime location in Hollywood, features desirable amenities like a patio and EV charging, and has a price reduction, which typically attracts buyers quickly."
19998238,25,moderate,moderate,moderate,moderate,"The property is well-located and features modern amenities, which typically attract buyers. However, its age and size may have contributed to a moderate selling time.","The property features modern amenities and a practical layout, but lacks highly sought-after keywords that typically indicate a fast sale. Its age and location suggest a moderate selling time.","The property features modern amenities and a desirable location in North Hollywood, but lacks fast-selling keywords. This suggests a moderate selling time, likely between 9 to 64 days."
20173720,18,moderate,moderate,moderate,fast,"The property has a spacious layout and luxurious features, which typically attract buyers. However, its age and size may lead to a moderate selling time, likely between 9 to 64 days.","The property has appealing features and a spacious layout, but lacks fast-selling keywords. Its age and location suggest a moderate selling time, likely between 9 to 64 days.","The property features desirable attributes like 6 bedrooms, a spacious layout, and luxury finishes, which are appealing to buyers. The description emphasizes comfort and elegance, likely leading to a quick sale."
3690364,302,slow,moderate,slow,moderate,"The property is well-located with desirable amenities and features, which typically leads to a moderate selling time. However, the age of the building may have slightly impacted the speed.","The property has several slow-selling discriminative words like 'doorperson' and is located in a competitive market. Additionally, its age and amenities may not attract quick buyers.","The property features desirable amenities and a good location near Loyola University and Lake Michigan, but the presence of a doorperson and age may indicate a slower market appeal."
2057626972,247,slow,fast,fast,fast,"The property is positioned as a luxury condominium with extensive amenities and immediate closings, indicating high demand. Its attractive features and prime location likely contributed to a quick sale.","The property features luxury amenities and modern design, appealing to buyers looking for upscale living. The immediate closing and appointment showings suggest a high demand, indicating a fast sale.","The property features luxury amenities and high-quality finishes, appealing to buyers seeking upscale living. Its prime location and immediate closings suggest a strong demand, likely leading to a fast sale."
60266307,67,moderate,fast,fast,fast,"The property is located in a desirable area with numerous amenities and features that appeal to buyers, likely leading to a quick sale within 0 to 35 days.","The property features desirable amenities, a prime location in Gold Coast, and modern updates, which are appealing to buyers. The description suggests a high demand, likely leading to a quick sale.","The condo features desirable amenities, a prime location in Gold Coast, and modern updates, which are appealing to buyers. The description emphasizes luxury and convenience, likely leading to a quick sale."
20564163,40,moderate,slow,moderate,moderate,"The property was a probate sale and sold as-is, which typically attracts fewer buyers and can lead to longer time on market. Additionally, its age and condition may have contributed to a slower sale.","The property is a probate sale and sold as-is, which may deter some buyers. However, its location and potential for customization suggest a moderate selling time.","The property is a probate sale and sold as-is, which may deter some buyers. However, its location and potential for customization suggest a moderate selling time."
19944699,4,fast,moderate,moderate,fast,"The property is well-positioned with luxurious features and ample space, which typically attracts buyers. However, the age of the home and market conditions suggest a moderate selling time.","The property features high-end finishes and a desirable location, but the age of the home and specific luxury terms may indicate a moderate selling time, likely between 9 to 64 days.","The property features high-end finishes, a desirable location near amenities, and a unique layout with an ADU, which are all appealing to buyers, likely leading to a quick sale."
19868957,20,moderate,fast,fast,fast,"The property is described as an excellent investment opportunity in a desirable neighborhood, which typically attracts buyers quickly. The mention of it not lasting long suggests a fast sale.","The description emphasizes a 'wonderful opportunity' and 'won't last long', indicating high demand. The mention of investment potential and updates suggests appeal to buyers, likely leading to a quick sale.","The property is described as a perfect fit for contractors and investors, highlighting its potential for quick resale. Phrases like 'won't last long' suggest high demand, indicating a fast sale."
20744807,26,moderate,moderate,slow,slow,"The property is a fixer-upper in a trendy neighborhood, which may attract buyers but also requires investment and time for renovations. This likely led to a moderate selling time.","The property is described as a 'diamond in the rough' needing significant work, which typically indicates a longer selling time. Additionally, it lacks fast-selling keywords, suggesting a slower market response.","The property is described as a 'diamond in the rough' needing imagination and a contractor, indicating it may require significant renovations, which typically leads to slower sales."
219714742,221,moderate,moderate,fast,fast,"The property is a luxurious condo in a prime location with extensive features, which typically attracts buyers. However, the size and price may lead to a moderate selling time of 90 to 222 days.","The property features high-end finishes, a prime location in New York, and luxurious amenities, which are attractive to buyers. The description emphasizes elegance and modernity, suggesting a quick sale.","The property features high-end finishes, a desirable location in New York, and luxurious amenities, which typically attract buyers quickly, leading to a fast sale."
20761286,15,moderate,moderate,slow,moderate,"The property is well-located and features appealing amenities, but its age and size may have contributed to a moderate selling time, likely taking between 9 to 64 days to sell.","The description includes terms like 'Quartz Calcutta counters' and 'modern culinary delight', which are associated with slow-selling properties. Additionally, the age of the house (64 years) may deter some buyers.","The property features appealing attributes like modern design and a great location, but the presence of 'Calcutta' suggests it may not sell as quickly, indicating a moderate selling time."
3808530,69,moderate,moderate,fast,fast,"The property is well-priced and features multiple updates, which typically attract buyers. However, the age of the property and its size may lead to a moderate selling time, likely between 35 to 82 days.","This property features a competitive price, numerous updates, and a prime location near downtown Chicago, which are all appealing factors that typically lead to a fast sale.","The property features multiple bedrooms, a finished basement, and is competitively priced in a desirable neighborhood. The description emphasizes its unique opportunity and urban living appeal, suggesting a quick sale."
4130050,198,slow,fast,fast,fast,"The property is described as 'priced to sell' and features desirable updates and location, which typically attracts buyers quickly, leading to a fast sale.","The property is described as 'priced to sell' and features attractive updates, which are appealing to buyers. The location and nearby amenities also suggest a quick sale.","The property features attractive updates, a desirable location, and is priced to sell, which are strong indicators for a quick sale. The description emphasizes its appeal, likely attracting buyers rapidly."
2068672812,43,moderate,moderate,fast,fast,"The property is located in a desirable area with potential for income generation, which typically attracts buyers. However, the age and size may lead to a moderate selling time of 9 to 64 days.","The property is located in a hot emerging neighborhood with potential for income generation and approved plans for expansion, appealing to investors and builders, which typically leads to a quick sale.","The property is located in a desirable area with potential for income generation and proximity to trendy establishments, which typically attracts buyers quickly, leading to a fast sale."
158513053,77,moderate,fast,fast,fast,"The property is in a desirable neighborhood with modern features and ample space, making it attractive to families. Its condition and amenities likely contributed to a quick sale.","The property features modern amenities, a desirable location, and a spacious layout, which are attractive to buyers. The description emphasizes family-friendly features and smart home technology, likely leading to a quick sale.","The property features modern amenities, a desirable location, and family-friendly attributes, which are appealing to buyers. Its pristine condition and smart home features likely contributed to a quick sale."
20008297,27,moderate,fast,fast,fast,"The property is in a desirable gated community with extensive renovations and a spacious layout, likely attracting buyers quickly. Its features and location suggest a fast sale.","The property features extensive renovations, a desirable gated community, and a spacious layout, which are appealing traits that typically lead to a quick sale in the competitive Los Angeles market.","The property features extensive renovations, a desirable gated community, and a large patio, appealing to buyers. Its prime location and modern amenities likely contributed to a quick sale."
3797400,69,moderate,moderate,moderate,moderate,"The property has appealing features like original woodwork and a finished basement, which likely attracted buyers, resulting in a moderate selling time.","The description highlights a well-cared-for home with original features and updates, appealing to buyers. However, it lacks urgency or trendy keywords, suggesting a moderate selling time.","The description highlights original features and potential for customization, appealing to buyers. However, the age of the home and the need for updates may slow the sale, leading to a moderate selling time."
4018202,32,fast,fast,fast,fast,"The property features modern upgrades and an excellent location, which typically attracts buyers quickly. The immediate occupancy option also suggests a fast sale.","The property features modern upgrades, a desirable location, and immediate occupancy, which are appealing to buyers. The description emphasizes high-end finishes and a spacious layout, likely attracting quick interest.","The property features high-end appliances, a desirable location, and immediate occupancy, which are attractive to buyers. The description emphasizes luxury and convenience, likely leading to a quick sale."
245548621,34,fast,fast,fast,fast,"The property features modern amenities, a desirable location, and ample space, which likely attracted buyers quickly. Its appeal suggests a fast sale, likely within 0 to 35 days.","The property features modern amenities, a desirable location, and an open layout ideal for entertaining, which are attractive to buyers. The description suggests high demand, likely leading to a quick sale.","The property features modern amenities, a desirable location, and an open layout, which are attractive to buyers. The description emphasizes convenience and luxury, likely leading to a quick sale."
87700611,60,moderate,fast,fast,fast,"The property features modern amenities and a desirable location in Chicago, which likely contributed to a quick sale, typically within 0 to 35 days.","The property features modern renovations, desirable amenities like en-suites and in-unit laundry, and is located in a vibrant area, which typically attracts buyers quickly.","The property features modern renovations, desirable amenities, and is located in a convenient area, which typically attracts buyers quickly, leading to a fast sale."
3971986,47,moderate,fast,fast,fast,"The property is impeccably renovated and located in a desirable area of Chicago, which typically attracts buyers quickly. The description suggests high demand, indicating a fast sale.","The property features extensive renovations and modern amenities, which are highly desirable. The description emphasizes urgency with phrases like 'this will not last long', indicating a likely fast sale.","The property features extensive renovations, modern amenities, and is located in a desirable area close to shopping and transportation, indicating high demand and likely a quick sale."
82876415,55,moderate,fast,fast,fast,"The property is described as 'move-in ready' in a trendy location with appealing features, suggesting high demand. The statement 'it won't last long' indicates a likely fast sale.","The property is described as 'move-in ready' and 'won't last long', indicating high demand. Its trendy location and appealing features suggest it sold quickly.","The property is described as 'move-in ready' in a trendy location with appealing features like a gas fireplace and a balcony. The mention of it being the 'best unit on the market' suggests high demand, indicating a fast sale."
20162951,9,fast,moderate,moderate,moderate,"The property has appealing features and a serene location, which typically attract buyers. However, its age and specific niche appeal may have contributed to a moderate selling time.","The property features appealing attributes like a spacious layout and outdoor amenities, but lacks fast-selling keywords. This suggests a moderate selling time, likely between 9 to 64 days.","The property features appealing attributes like a spacious layout and outdoor amenities, but lacks fast-selling keywords. This suggests a moderate selling timeframe, likely between 9 to 64 days."
3824979,49,moderate,slow,slow,slow,"The property has multiple challenges, including tenant issues, required updates, and an as-is sale, which likely extended the time on market significantly.","The property has tenant issues, requires significant updates, and is an as-is sale, which typically leads to longer market times. The need for eviction adds further complexity.","The property has significant issues such as tenant eviction, required updates, and is being sold as-is. These factors typically lead to a longer selling period, indicating a slow sale."
2066391656,99,moderate,moderate,fast,fast,"The property is in a desirable location with luxury features, but its age and specific market conditions likely contributed to a moderate selling time of 90 to 222 days.","The property is a luxury condo in a prime location with appealing features like urban views and a pet-friendly policy. The description emphasizes its turnkey status, which typically attracts buyers quickly.","The property features luxury amenities, a desirable location in Turtle Bay, and is turnkey ready, which typically attracts buyers quickly. The absence of slow-selling keywords further supports a fast sale."
32278494,284,slow,moderate,slow,slow,"The property is appealing to investors and handymen, suggesting potential for a good sale. However, its age and as-is condition may lead to a moderate selling time, likely between 76 to 196 days.","The property is being sold as-is and is targeted towards investors and handymen, which typically indicates a longer selling period. Additionally, the presence of slow-selling keywords suggests it may take longer to find a buyer.","The property is being sold as-is and is targeted towards investors and handymen, which may deter typical buyers. Additionally, the presence of a full unfinished basement and age of the home suggest potential renovation challenges."
245406394,67,fast,moderate,fast,fast,"The property is located in a prime area with appealing features, but the age of the building and board approval may have contributed to a moderate selling time, likely between 90 to 222 days.","The property is located in prime Flushing, has abundant natural light, and is close to public transport and amenities, which are attractive features that typically lead to a quick sale.","The property is located in prime Flushing, has abundant natural light, and is near public transport and amenities, which are attractive features that typically lead to a quick sale."
2099549367,55,moderate,fast,fast,fast,"The property is a luxury condo with desirable features and a prime location in Logan Square, which likely attracted buyers quickly, resulting in a fast sale.","This luxury condo features high-end finishes, ample space, and a prime location in Logan Square, which are attractive to buyers. The detailed description and amenities suggest a quick sale.","The property features high-end finishes, ample space, and desirable outdoor areas, which are attractive to buyers. Its location in a vibrant neighborhood further enhances its appeal, likely leading to a quick sale."
79723410,232,slow,moderate,fast,fast,"The property is located in a desirable area with modern amenities, which typically attracts buyers. However, the age of the building and the absence of parking may have contributed to a moderate selling time.","The property is located in a desirable area with modern renovations and appealing amenities, which typically attract buyers quickly. The description emphasizes luxury and convenience, suggesting a fast sale.","The property is located in a desirable area with modern renovations and amenities, which typically attract buyers quickly. The description emphasizes luxury and convenience, suggesting high demand."
2057663386,169,moderate,moderate,fast,fast,"The property is well-located and features desirable amenities, but its age and the competitive market in New York suggest it likely sold in a moderate timeframe of 90 to 222 days.","The property features desirable attributes like a corner unit, updated bathrooms, and a private balcony, which are appealing in the competitive New York market, suggesting a fast sale.","The property features desirable attributes like a spacious layout, modern updates, and a prime location in Rego Park, which typically attracts buyers quickly, leading to a fast sale."
3705902,89,slow,moderate,moderate,fast,"The property has a spacious layout and desirable features, but its age and location may have contributed to a moderate selling time, likely taking between 35 to 82 days to sell.","The property has appealing features like a spacious layout and recent updates, but lacks strong fast-selling keywords. This suggests a moderate selling time, likely between 35 to 82 days.","The property features desirable attributes like a spacious layout, modern amenities, and a prime location near the lake, which typically attract buyers quickly, leading to a fast sale."
348574387,67,slow,fast,fast,fast,"The property is a new construction in a desirable area with modern features and low HOA dues, likely attracting buyers quickly. Its appeal suggests a fast sale, likely within 0-9 days.","The property features modern design, high ceilings, and a pet-friendly patio, appealing to buyers. Its location near dining and shops adds to its desirability, likely leading to a quick sale.","The property features high-end finishes, modern design, and a desirable location near dining and shops, which are appealing to buyers. Its new construction and pet-friendly amenities likely contributed to a quick sale."
31523180,111,moderate,moderate,moderate,fast,"The property features extensive renovations and desirable amenities, which typically attract buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features a dramatic price reduction and high-end amenities, which typically attract buyers. However, the age of the building and the specific location may lead to a moderate selling time.","The property features a dramatic price reduction and is located in a desirable area with stunning views and modern amenities, which typically attracts buyers quickly."
3927324,28,fast,moderate,moderate,fast,"The property is well-maintained and offers ample space, but being an estate sale and sold as-is may have contributed to a moderate selling time, likely between 35 to 89 days.","The property has appealing features like a finished basement and spacious yard, but the mention of 'estate sale, sold as-is' may indicate potential buyer hesitance, leading to a moderate selling time.","The property features desirable attributes like a spacious layout, multiple living areas, and a large yard, appealing to families. Its location in Chicago and the mention of an estate sale suggest a quick sale."
2053207262,133,moderate,fast,fast,fast,"The property is well-maintained and recently renovated, located in a desirable area with amenities nearby, which typically attracts buyers quickly, leading to a fast sale.","The property is well-maintained, recently renovated, and located in a desirable area with modern amenities. These factors typically lead to a fast sale in the competitive New York market.","The property is well-maintained, recently renovated, and located in a desirable area with convenient access to amenities. These factors typically lead to a fast sale in the competitive New York market."
3685189,42,moderate,slow,slow,slow,"The property is an estate sale and sold as-is, which typically attracts fewer buyers. Additionally, the need for TLC suggests it may take longer to sell, leading to a slow selling classification.","The property is an estate sale and sold as-is, indicating potential issues. The need for TLC and the age of the home suggest it may take longer to attract buyers.","The property is described as needing TLC and is an estate sale sold as-is, which typically indicates a longer selling process. The age and condition may deter quick buyers."
3920428,48,moderate,moderate,fast,fast,"The property has appealing features and a good location, which typically leads to moderate selling times. However, its age and size may have contributed to a longer market presence.","The property features desirable attributes like a spacious layout, modern amenities, and a prime location near public transport and local shops, which typically attract buyers quickly.","The property features desirable attributes like a spacious layout, modern amenities, and a prime location near public transport and schools, which typically attract buyers quickly."
4147854,57,moderate,slow,slow,slow,"The property is sold as-is and owned by HUD, which often indicates a longer selling process. Additionally, the age of the home and potential condition issues may deter buyers, leading to a slow sale.","The property is sold as-is and owned by HUD, which often indicates potential issues. The lack of appealing features and the age of the home suggest a longer selling period.","The property is sold as-is and owned by HUD, which may deter buyers. Additionally, the lack of appealing features and the age of the home suggest a longer time on the market."
101278829,156,slow,fast,fast,fast,"The property is located in a desirable area with modern amenities and a well-designed layout, which likely attracted buyers quickly, resulting in a fast sale.","The property features high-end finishes, a desirable location between Logan Square and Wicker Park, and ample outdoor space, which are attractive to buyers, likely leading to a quick sale.","The property features high-end finishes, a desirable location, and ample outdoor space, which are attractive to buyers. Its modern amenities and layout likely contributed to a quick sale."
126321579,126,moderate,moderate,fast,fast,"The property is in a desirable location with many amenities, but its age and the specific market conditions suggest it sold in a moderate timeframe, likely between 90 to 222 days.","The property is described as 'move-in ready' and located in a prestigious area with numerous amenities, which typically attracts buyers quickly. The mention of a solid investment also suggests strong demand.","The property is described as 'move-in ready' with 'lavish amenities' and a 'solid investment' in a desirable location, indicating high demand and likely a quick sale."
21350912,9,fast,moderate,moderate,moderate,"The property is described as a cherished home with many upgrades and a long history, which may attract buyers but also suggests it might take time to find the right buyer, leading to a moderate selling time.","The property has a charming description and several upgrades, but lacks fast-selling keywords. Its long history with the same family may also suggest a more moderate selling timeframe.","The property has been well-maintained and features desirable upgrades, but its long history with the same family may indicate a slower selling process. Thus, it likely sold in a moderate timeframe."
4134613,52,moderate,fast,fast,fast,"The property is beautifully renovated with modern finishes and a desirable open floor plan, likely attracting buyers quickly. Its appealing features suggest a fast sale.","The property features high-end renovations and modern amenities, appealing to buyers looking for move-in ready homes. The description emphasizes quality and design, likely attracting quick interest.","The property features high-end renovations and modern amenities, appealing to buyers looking for move-in ready homes. The description emphasizes quality and luxury, likely attracting quick interest."
101434908,78,moderate,fast,fast,fast,"The property features desirable amenities like a rooftop deck and prime location near attractions, likely attracting buyers quickly, resulting in a fast sale.","The property features desirable amenities like a rooftop deck with a jacuzzi, a prime location near popular areas, and a modern chef's kitchen, which are attractive to buyers, suggesting a quick sale.","The property features a private rooftop deck, jacuzzi, and a prime location near popular areas, which are highly desirable. The modern amenities and open living space likely contributed to a quick sale."
346016188,103,slow,moderate,fast,fast,"The property is well-located with ample living space and modern features, which typically attract buyers. However, the age of the property and market conditions suggest a moderate selling time.","The property is well-located near amenities and has appealing features like high-end appliances and abundant natural light, which typically attract buyers quickly.","The property features modern updates, a desirable location near amenities, and spacious living areas, which are appealing to buyers, likely leading to a quick sale."
20444708,63,moderate,slow,slow,moderate,"The property is a unique development opportunity in a desirable area, but its age and the need for potential renovations may have contributed to a longer selling time, likely over 64 days.","The property is a unique development opportunity in a sought-after area, but its age and lack of modern amenities may deter buyers, leading to a longer selling period.","The property is a unique development opportunity in a desirable area, but lacks fast-selling keywords. Its potential for transformation may attract buyers, leading to a moderate selling time."
2057933994,142,moderate,moderate,fast,fast,"The property features luxurious amenities and a spacious layout, which typically attract buyers. However, its age and location may have contributed to a moderate selling time.","The property features luxurious amenities, an open floor plan, and an inviting outdoor space, which are attractive to buyers. The description emphasizes a vacation-like lifestyle, likely appealing to many, suggesting a fast sale.","The property features luxurious amenities, an open floor plan, and an inviting outdoor space with a pool, which are highly desirable. The description emphasizes elegance and comfort, likely attracting buyers quickly."
250330084,43,moderate,slow,slow,moderate,"The property is an older multi-unit building in a redeveloping area, which may take longer to sell due to its age and the need for potential renovations, leading to a longer time on market.","The property is in a redeveloping area and is older (86 years), which may deter buyers. Additionally, it lacks fast-selling keywords, indicating a longer market time.","The property is a five-unit apartment building in a redeveloping area, which may attract moderate interest. Its age and mixed unit types suggest a longer selling period, likely 14 to 83 days."
32287488,92,moderate,fast,fast,fast,"The property is a renovated studio in a luxury hi-rise with desirable amenities and a great location, likely attracting buyers quickly, resulting in a fast sale.","The property features luxury amenities, a renovated interior, and a desirable location near public transport, which are appealing factors that typically lead to a quick sale.","The property features luxury amenities, a renovated interior, and a desirable location near public transport, which are appealing to buyers, likely leading to a quick sale."
3648395,77,moderate,moderate,fast,fast,"The property is well-located and offers desirable features, but its age and size may lead to a moderate selling time, likely taking between 35 to 82 days to sell.","The property is well-located near public transport and has desirable features like outdoor space and included utilities, which typically attract buyers quickly.","The property features a superb location near public transport and amenities, along with desirable attributes like outdoor space and included utilities, which typically attract buyers quickly."
3938367,35,fast,moderate,moderate,moderate,"The property features extensive renovations and desirable amenities, which typically attract buyers. However, the age of the home and the 'as-is' sale may have contributed to a moderate selling time.","The property features desirable updates like a remodeled kitchen and hardwood floors, but the age and 'as is' condition may deter some buyers, leading to a moderate selling time.","The property features a remodeled kitchen and desirable amenities, which typically attract buyers. However, the age and 'as-is' condition may slow down the sale, leading to a moderate selling time."
32304623,161,moderate,moderate,moderate,moderate,"The property has appealing features like a large corner lot, a pool, and is conveniently located, which likely contributed to a moderate selling time.","The property has appealing features like a heated inground pool and a well-maintained yard, but lacks fast-selling keywords. This suggests a moderate selling time.","The property features desirable amenities like a heated inground pool and a well-manicured yard, but lacks fast-selling keywords. This suggests a moderate selling time."
30697100,0,fast,moderate,moderate,moderate,"The property has a good amount of space and features, but its age and location in a competitive market may have contributed to a moderate selling time.","The property has a spacious layout and several appealing features, but its age and location in a competitive market may lead to a moderate selling time.","The property has several appealing features like a spacious layout and updated kitchen, but its age and location in a competitive market may lead to a moderate selling time."
32306395,226,slow,moderate,slow,fast,"The property is being sold through an auction, which typically has a set timeframe. Given the auction format, it may take longer than 76 days but less than 196 days to finalize the sale.","The property is being sold through Auction.com, which often indicates a longer selling process. Additionally, the presence of slow-selling discriminative words suggests it may take longer to sell.","The property is being sold through Auction.com, which typically indicates a quick sale process. The urgency of bidding suggests a fast-selling scenario, especially in a desirable market like New York."
3639364,63,moderate,moderate,fast,fast,"The property is well-renovated and located in a desirable area, which typically attracts buyers. However, the age of the house and size may lead to a moderate selling time, likely taking 35 to 89 days.","The property features recent renovations, a desirable location near parks and restaurants, and modern amenities, which typically attract buyers quickly, indicating a fast sale.","The property features recent renovations, a desirable location near parks and restaurants, and modern conveniences, which typically attract buyers quickly, leading to a fast sale."
32360340,126,moderate,moderate,moderate,moderate,"The property has a good number of bedrooms and amenities, which typically attract buyers. However, its age and location may have contributed to a moderate selling time.","The property has a good number of bedrooms and bathrooms, and is well-located near amenities, but its age and lack of fast-selling keywords suggest a moderate selling time.","The property has a desirable location with ample amenities and space for families, but lacks fast-selling keywords. This suggests a moderate selling time of 90 to 222 days."
95538891,99,slow,moderate,moderate,moderate,"The property is unique and offers extensive features, which may attract buyers but could also lead to a longer decision-making process. Thus, it likely sold in a moderate timeframe.","The property has unique features and a large lot, which may attract buyers, but the lengthy description and lack of fast-selling keywords suggest a moderate selling time.","The property has unique features and a large lot, appealing to specific buyers, but lacks fast-selling keywords. This suggests a moderate selling time of 9 to 64 days."
